,Unnamed: 0,risk_tolerance,investment_experience,liquidity_needs,platform,time_spent,instrument_type_first_traded,first_deposit_amount,time_horizon,user_id,chunked
0,0,1,1,2,-1,33.1294166667,2,40.0,1,895044c23edc821881e87da749c01034,1
1,1,0,1,2,-1,16.5735166667,2,200.0,0,458b1d95441ced242949deefe8e4b638,0
2,2,0,1,2,1,10.008366666699999,2,25.0,2,c7936f653d293479e034865db9bb932f,1
3,3,0,1,2,-1,1.0316333333299998,2,100.0,0,b255d4bd6c9ba194d3a350b3e76c6393,0
4,4,1,1,2,-1,8.18725,2,20.0,2,4a168225e89375b8de605cbc0977ae91,1
5,5,0,0,0,1,12.9681166667,2,100.0,1,0322b1d744cc89ebbe6ebe70d824d922,0
6,6,-1,2,2,-1,30.7100833333,2,5.0,2,f4cac8c1544b723ddedc9bdba81c64c0,1
7,7,1,2,1,1,0.0,2,100.0,0,bdc39d2fc664ef9a5e6713168057f892,0
8,8,1,2,2,1,0.0,2,5000.0,0,85f2f0f54411b4f3e7a403ba902e7280,0
9,9,0,0,2,-1,2.96961666667,2,11.0,1,529ddd19dac72d55cde8e633340a9aed,1
10,10,0,0,2,0,9.4436,2,50.0,0,bf7d43376fee932d78537347beb07e36,0
11,11,1,2,2,-1,3.35893333333,5,1000.0,2,56bea929bcaeae73d3737a42c02bfc3c,0
12,12,1,1,2,1,74.3467666667,2,200.0,0,b63f1ab8005b313815f116ea99ae1864,0
13,13,1,0,1,1,0.987966666667,2,3000.0,1,3bc30bf7afa2a7ef04bb7d8f9742d752,0
14,14,0,0,2,-1,4.52153333333,7,5000.0,2,51a4ce44d4bc392a4a2db226308e8d0b,0
15,15,1,0,2,1,4.55301666667,1,10.0,1,064ecf3e3a66c362fa52807411ced374,1
16,16,1,0,2,1,0.0,2,40.0,0,50cf51b304d3dd9796063cf7b8221ada,1
17,17,1,0,2,-1,19.8825,2,100.0,0,385e0cebee45e07eb97304f03a093529,0
18,18,1,2,2,1,0.0,2,150.0,0,bb70182208e73de1dccc347d098b4292,0
19,19,-1,0,2,0,0.0,2,50.0,1,44daa41022383125d36277779c8e8f85,1
20,20,1,1,2,1,0.493266666667,5,500.0,1,d2723168844432c5186a702aae7e58fa,0
21,21,1,1,2,-1,8.54966666667,2,10.0,0,3d8664d2b058d4796589a4dbedcc1a48,1
22,22,1,0,2,1,0.0,2,1000.0,0,72332b7f69aa4e58ae7b3d3737d79b41,0
23,23,0,1,2,-1,18.1116166667,2,200.0,0,62b104513b4eb94f9464b6da36d00c46,0
24,24,1,1,2,1,0.0,2,250.0,2,a78ceddff542a102b31cff689a618d86,0
25,25,0,0,2,1,21.4719833333,7,25.0,0,c96724b6ba588a8ebaa00e44f48d599f,1
26,26,1,2,2,-1,19.1435833333,2,10.0,2,013af61a0a1c2cbef974b88fd4cd8b34,0
27,27,0,1,2,1,4.71173333333,2,50.0,0,8c41f7ac77c5487dc61a1bc7754c1f1b,1
28,28,1,0,2,-1,12.351966666700001,2,100.0,0,fadd47d24759e87fe4e6dc49800d314e,1
29,29,0,1,2,1,14.827883333299999,2,200.0,0,0c2cc46a5d5eeedd3a2c54e59b15e01a,0
30,30,1,1,2,1,52.5490166667,2,10.0,2,0aed336cdbbd2e9e664d053d877678c8,1
31,31,1,1,2,1,0.0,2,100.0,2,c840d6ccb5a43a68312e3ae11ee1ac6a,1
32,32,1,1,2,-1,17.97345,2,100.0,0,209cbf0d52efd985e9a15aad05ee1e3a,0
33,33,0,1,2,1,11.9484166667,2,50.0,0,44a2d398d8783c29f605f3528b6f5eb7,1
34,34,1,2,2,-1,2.36883333333,2,500.0,1,253352d8347caa7f3de8bb1096df9a4f,0
35,35,0,0,2,-1,35.7030833333,2,50.0,0,e856013301948923da8a7ee15b34ba62,0
36,36,1,0,2,1,5.04601666667,2,1000.0,1,04c47852fa5831f191b831e221d2619a,0
37,37,1,1,1,1,71.8712833333,2,100.0,1,536b742882c3d61b4aa4b123594fb769,0
38,38,1,1,2,-1,0.6679999999999999,2,60.0,2,537a299337df9e671c1918aca7dd64cf,0
39,39,1,2,2,1,0.0,2,1000.0,2,b3c8ac89ab421e27d0d8da0d278bc638,0
40,40,1,1,2,1,6.585866666669999,2,50.0,0,e5ba46f1ff7c44025a2048b70e12ce52,1
41,41,-1,0,2,1,89.7789333333,2,20.0,0,7fa9742f1f7874003e5083aa143b48a1,0
42,42,1,1,1,1,2.23576666667,3,150.0,2,49244824562c2d157846334ab995af29,0
43,43,0,1,0,1,1.2806833333299998,2,39.0,0,1d7753decc8ab644e8b03b79d6f43eaa,0
44,44,0,1,2,1,5.32683333333,2,200.0,0,5761fd7c2bd8ace1e71fcf289d12ab94,0
45,45,1,1,2,-1,35.1944333333,2,25.0,1,ae4a8561d493e59044a604afc9373649,1
46,46,0,1,2,-1,28.9948833333,2,10.0,0,add434bc47375ae53743a6b56e2c63df,1
47,47,0,2,2,1,72.7252833333,2,20.0,0,9051d9f9b78f807258d7432335ff7c43,1
48,48,1,1,2,1,0.0,2,1500.0,0,7bdd363a352211cb6c86cc4546e36eab,0
49,49,1,1,2,1,0.0,2,500.0,2,8cbbe14e0a2faeac7498765fccb13233,0
50,50,1,1,2,-1,0.0,2,50.0,2,f4b2de43279fb7220ed3f014bee205bd,1
51,51,0,1,1,1,74.7014,2,500.0,2,6da8564a58c1be98127895479c8767aa,0
52,52,1,1,2,1,15.05155,2,304.0,1,6d68854af5839cdc3451e369d7493f0f,0
53,53,-1,0,0,1,2.49836666667,5,20000.0,0,8e9fba007fda31acc10a7a8034c38894,0
54,54,1,0,2,-1,56.1876166667,2,5.0,1,f59175fe38f9f5e98853efe6e9caefaa,0
55,55,1,1,2,-1,106.765116667,5,1000.0,2,0364f794c1630491067963fee08de762,0
56,56,-1,0,1,1,20.4975666667,2,100.0,0,6728e2c4d84d71c182e10b2799e4f306,0
57,57,0,1,2,1,31.177433333299998,5,200.0,1,f25fe89878348b1c81cb864d590bce09,0
58,58,1,1,2,-1,23.1584,2,500.0,2,26c361b6af7464bab75bd55b91860b6e,0
